word	anger	anticipation	disgust	fear	joy	sadness	surprise	trust
bout	0.500	0	0	0	0	0	0	0
contented	0	0	0	0	0.588	0	0	0
operation	0	0	0	0.266	0	0	0	0.445
palpable	0	0	0	0	0	0	0.297	0
peri	0	0	0	0	0	0	0.391	0
council	0	0.328	0	0	0	0	0	0.594
harmoniously	0	0	0	0	0.641	0	0	0.672
wan	0	0	0	0.281	0	0.312	0	0
disinclined	0	0	0.250	0	0	0	0	0
confirmation	0	0	0	0	0	0	0	0.734
keyed	0.394	0	0	0	0	0	0	0
malignancy	0	0	0	0.742	0	0.803	0	0
cocoa	0	0	0	0	0.353	0	0	0
creeping	0	0.469	0	0	0	0	0	0
soot	0	0	0.320	0	0	0	0	0
remedy	0	0.578	0	0	0.227	0	0	0.516
dispossessed	0.470	0	0	0.578	0	0.531	0	0
shortage	0.212	0	0	0.344	0	0.281	0	0
scary	0	0	0	0.766	0	0	0	0
monde	0	0	0	0	0	0	0	0.344
apologetic	0	0	0	0	0	0	0	0.500
pith	0	0	0	0	0	0	0	0.297
longing	0	0.602	0	0	0	0.594	0	0
indecent	0	0	0.562	0	0	0	0	0
sinister	0.781	0	0.750	0.672	0	0	0	0
riotous	0.734	0	0	0.750	0	0	0.727	0
tiff	0.412	0	0	0	0	0	0	0
madder	0.773	0	0	0	0	0	0	0
wracking	0	0	0	0.625	0	0	0	0
heated	0.545	0	0	0	0	0	0	0
slaughterhouse	0.788	0	0.867	0.859	0	0.703	0	0
schizophrenia	0.369	0	0.508	0.703	0	0.625	0	0
gay	0	0	0	0	0	0	0	0.391
pessimism	0.375	0	0	0.359	0	0.576	0	0
rainbow	0	0	0	0	0.531	0	0	0
winner	0	0.602	0	0	0.636	0	0.547	0
proficient	0	0	0	0	0	0	0	0.664
poverty	0.312	0	0.469	0.391	0	0.690	0	0
slump	0	0	0	0	0	0.375	0	0
usher	0	0	0	0	0	0	0	0.391
gladiator	0	0	0	0.328	0	0	0	0
edict	0	0	0	0.375	0	0	0	0
gazing	0	0	0	0	0.333	0	0	0
symphony	0	0.398	0	0	0.422	0	0	0
miracle	0	0.633	0	0	0.742	0	0.859	0.562
thresh	0.484	0	0	0.469	0	0.312	0	0
dawn	0	0.469	0	0	0.333	0	0.211	0.453
elegance	0	0.453	0	0	0.609	0	0	0.492
godly	0	0	0	0	0.514	0	0	0.586
coming	0	0.633	0	0	0	0	0	0
horrid	0.833	0	0.648	0.705	0	0.734	0	0
righteousness	0	0	0	0	0.439	0	0	0
inappropriate	0.324	0	0.312	0	0	0.297	0	0
phlegm	0	0	0.758	0	0	0	0	0
clowns	0	0	0	0.207	0	0	0	0
mace	0	0	0	0.438	0	0	0	0
horde	0	0	0	0	0	0	0.484	0
greatful	0	0	0	0	0.816	0	0	0
word	0	0	0	0	0	0	0	0.477
exchange	0	0	0	0	0	0	0	0.453
strongest	0	0	0	0	0	0	0	0.680
unfavorable	0	0	0.414	0	0	0.469	0	0
dontunderstand	0.242	0	0	0	0	0	0	0
validity	0	0	0	0.141	0	0	0	0
horse	0	0	0	0	0	0	0	0.391
oils	0	0	0	0	0.141	0	0	0
anticipate	0	0.820	0	0	0	0	0	0
mine	0	0	0	0	0.297	0	0	0
aggressor	0.656	0	0	0.812	0	0	0	0
misfortune	0	0	0	0.562	0	0.516	0	0
taint	0	0	0	0	0	0.281	0	0
moonlight	0	0	0	0	0.364	0	0	0
undone	0	0	0	0	0	0	0	0.211
fire	0	0	0	0.636	0	0	0	0
stubbed	0.455	0	0	0	0	0	0	0
immediately	0	0.469	0	0	0	0	0	0
scorn	0.769	0	0	0	0	0	0	0
remains	0	0	0.516	0.281	0	0	0	0.445
woeful	0	0	0	0	0	0.641	0	0
cussed	0.619	0	0	0	0	0	0	0
antidote	0	0.391	0	0	0	0	0	0.539
chilling	0	0	0	0	0.227	0	0	0
cyanide	0	0	0	0.797	0	0	0	0
gesture	0	0	0	0	0.387	0	0	0
vista	0	0.422	0	0	0	0	0	0
pig	0	0	0.539	0	0	0	0	0
garbage	0	0	0.719	0	0	0	0	0
crafts	0	0	0	0	0.312	0	0	0
worried	0	0	0	0.466	0	0.621	0	0
rapid	0	0	0	0	0	0	0.469	0
pedicure	0	0	0	0	0.328	0	0	0
cube	0	0	0	0	0	0	0	0.391
straightforward	0	0	0	0	0	0	0	0.711
auspicious	0	0.484	0	0	0.391	0	0	0
trump	0	0	0	0	0	0	0.492	0
distress	0.469	0	0.508	0.656	0	0.594	0.625	0
frolic	0	0	0	0	0.748	0	0	0
inspire	0	0.602	0	0	0.594	0	0	0.680
committed	0	0	0	0	0	0	0	0.805
mail	0	0.461	0	0	0	0	0	0
blob	0	0	0.508	0.500	0	0	0	0
unwind	0	0	0	0	0.281	0	0	0
rest	0	0	0	0	0.469	0	0	0
prey	0	0	0	0.703	0	0	0	0
husbandry	0	0	0	0	0	0	0	0.586
hormonal	0.172	0	0	0	0	0	0	0
closeness	0	0	0	0	0.552	0	0	0.719
interminable	0.343	0.375	0	0	0	0	0	0
irreparable	0	0	0	0.625	0	0.609	0	0
shaking	0	0	0	0.531	0	0	0	0
resistant	0	0	0	0.344	0	0	0	0
mouthful	0	0	0.164	0	0	0	0	0
engaged	0	0.641	0	0	0.652	0	0	0.625
faith	0	0.438	0	0	0.453	0	0	0.742
discolored	0	0	0.273	0	0	0.219	0	0
astronomer	0	0.281	0	0	0	0	0	0
guardianship	0	0	0	0	0	0	0	0.703
lesson	0	0.367	0	0	0	0	0	0.461
deceitful	0	0	0.594	0	0	0.562	0	0
goo	0	0	0.656	0	0	0	0	0
malpractice	0.500	0	0	0	0	0	0	0
revoke	0.485	0	0.367	0.469	0	0.281	0	0
wart	0	0	0.695	0	0	0	0	0
gameday	0	0	0	0.125	0	0	0	0
whatdoido	0	0	0	0.391	0	0	0	0
representing	0	0.398	0	0	0	0	0	0
scarecrow	0	0	0	0.391	0	0	0	0
emotional	0	0	0	0	0	0.438	0	0
ground	0	0	0	0	0	0	0	0.398
marvelous	0	0	0	0	0.824	0	0.500	0
prophylactic	0	0.406	0	0	0	0	0	0.312
bloodshed	0.864	0	0.714	0.859	0	0.836	0.656	0
bug	0	0	0.359	0.188	0	0	0	0
oppress	0.490	0	0.570	0.516	0	0.664	0	0
thanksgiving	0	0	0	0	0.641	0	0	0
garrison	0	0	0	0	0	0	0	0.367
deterioration	0.344	0	0.719	0.562	0	0.536	0	0
assailant	0.691	0	0	0.703	0	0.536	0	0
gasp	0	0	0	0	0	0	0.711	0
poisoning	0	0	0.703	0	0	0	0	0
aggravating	0.750	0	0	0	0	0.500	0	0
hysteria	0	0	0	0.797	0	0	0	0
stools	0	0	0.625	0	0	0	0	0
consistency	0	0	0	0	0	0	0	0.711
noschool	0	0	0	0	0.516	0	0	0
authorize	0	0	0	0	0	0	0	0.633
notable	0	0	0	0	0.297	0	0	0.523
losing	0.349	0	0	0	0	0.594	0	0
excite	0.191	0.742	0	0.132	0.697	0	0.695	0
hungry	0	0.547	0	0	0	0	0	0
candlelight	0	0	0	0	0.424	0	0	0
indictment	0	0	0	0.484	0	0	0	0
regime	0	0	0	0.469	0	0	0	0
horseshit	0.719	0	0	0	0	0	0	0
endless	0.198	0	0	0.297	0.303	0.328	0	0.344
deliverance	0	0.531	0	0	0.348	0	0	0.531
lethal	0	0	0.536	0.806	0	0.797	0	0
gut	0	0	0.594	0	0	0	0	0
unequivocal	0	0	0	0	0	0	0	0.570
lord	0	0	0.125	0	0.312	0	0	0.445
verily	0	0	0	0	0	0	0	0.531
notification	0	0.523	0	0	0	0	0	0
navigator	0	0.375	0	0	0	0	0	0.578
complaint	0.485	0	0	0	0	0	0	0
hankering	0	0.539	0	0	0	0	0	0
star	0	0.469	0	0	0.406	0	0	0.391
polemic	0.359	0	0.500	0	0	0	0	0
frighten	0	0	0	0.828	0	0.578	0.875	0
dissection	0	0	0.759	0	0	0	0	0
strip	0	0	0	0	0	0.179	0	0
entrust	0	0	0	0	0	0	0	0.812
unjust	0.530	0	0	0	0	0	0	0
prevail	0	0.523	0	0	0.562	0	0	0
mad	0.688	0	0.484	0.547	0	0.500	0	0
fulfilling	0	0	0	0	0.618	0	0	0
fragile	0	0	0	0.188	0	0.319	0	0
considerate	0	0	0	0	0	0	0	0.609
footing	0	0	0	0	0	0	0	0.359
devilish	0	0	0.625	0.734	0	0	0	0
eradication	0.685	0	0.516	0.828	0	0	0	0
lucky	0	0	0	0	0.721	0	0.539	0
phalanx	0	0	0	0.342	0	0	0	0.359
discriminate	0.576	0	0	0	0	0.453	0	0
christmaseve	0	0	0	0	0.656	0	0	0
quake	0	0	0	0.812	0	0	0	0
clock	0	0.375	0	0	0	0	0	0
regulatory	0	0	0	0.172	0	0	0	0
dayoff	0	0	0	0	0.531	0	0	0
synergistic	0	0	0	0	0	0	0	0.453
breakup	0	0	0	0	0	0.609	0	0
parting	0	0	0	0	0	0.375	0	0
munchies	0	0	0	0	0.400	0	0	0
plan	0	0.570	0	0	0	0	0	0
tackle	0.545	0	0	0	0	0	0.602	0
pontiff	0	0	0	0	0	0	0	0.500
agreeing	0	0	0	0	0	0	0	0.680
cheers	0	0	0	0	0.773	0	0	0
godbless	0	0	0	0	0.616	0	0	0
koo	0	0	0	0	0	0	0	0.211
ultimately	0	0.523	0	0	0	0	0	0
plausible	0	0	0	0	0	0	0	0.570
weight	0	0.258	0.219	0.109	0.109	0.141	0.117	0.289
enforce	0.424	0	0	0.516	0	0	0	0
mainstay	0	0	0	0	0	0	0	0.602
demise	0	0	0	0.641	0	0.717	0	0
makesmemad	0.688	0	0	0	0	0	0	0
thrilling	0	0.781	0	0	0.776	0	0.859	0
subjected	0	0	0	0	0	0.406	0	0
talaga	0	0	0	0	0	0	0	0.297
machine	0	0	0	0	0	0	0	0.289
circumstances	0	0	0	0	0.125	0	0	0.359
expire	0	0	0	0	0	0.562	0	0
exclusion	0	0	0.367	0.636	0	0.500	0	0
pumped	0	0	0	0	0.567	0	0	0
lessen	0	0.336	0	0	0	0	0	0
undisclosed	0	0.500	0	0	0	0	0	0
verification	0	0	0	0	0	0	0	0.781
calculator	0	0	0	0	0	0	0	0.477
carols	0	0	0	0	0.424	0	0	0
rooted	0	0	0	0	0	0	0	0.586
