word	weight	happy	funny	sad	lovely	exciting	angry	scary
favorable	8.732195766185784	0.2586514949798584	0.06748819351196278	0.05925128608942043	0.11344078183174133	0.18343032896518707	0.13812093436717987	0.13394437730312347
teacher	8.283111998443179	0.0893554538488388	0.08149189502000798	0.1245741993188858	0.10209745168685913	-0.03819584101438522	0.1417524218559265	0.07243616878986359
walking	7.192544307614451	0.15614548325538635	0.1717102974653244	0.16497276723384857	0.2115396112203598	0.04845166206359863	0.1645921915769577	0.2552444338798523
funk	11.985955992907487	0.07033328711986542	0.14915364980697632	0.08437468111515045	0.09314819425344478	0.06696562469005585	0.06663339585065842	0.13463452458381653
zest	10.247685208630418	0.17227403819561005	0.20624326169490814	0.11955481767654419	0.27754831314086914	0.21945780515670776	0.05486685410141945	0.07899842411279678
stone	6.773741325412862	0.006007622927427181	0.05344632640481006	0.0844671279191972	0.22919580340385437	0.011761004105210415	0.08210247755050659	0.05797509476542484
maniac	10.52734097020797	0.12793976068496704	0.2823767066001892	0.1226317510008812	0.21179741621017456	0.07376324385404598	0.2759626507759094	0.32095402479171753
untrustworthy	11.868172957251105	0.10573706030845642	0.2260952591896057	0.18236175179481506	0.0851360261440276	0.01619560271501541	0.3068650960922241	0.2261652648448944
oblivion	9.669714573465956	0.028783217072486766	0.041796762496232875	0.18614289164543152	0.08715396374464035	-0.021891651675104873	0.03312902897596359	0.07149496674537659
apocalypse	13.803033270119831	0.045765813440084346	0.16533949971199036	0.1830620914697647	0.11340786516666412	0.08129154145717621	0.10701514035463333	0.33332186937332153
craps	13.149106802713169	0.04362322390079498	0.1189151331782341	0.027367036789655574	0.08110903203487396	0.04093497246503841	0.021374251693487167	0.12421661615371704
pleased	6.839552226982023	0.6632170677185059	0.07735621929168701	0.3283713459968567	0.2100074738264084	0.41269248723983765	0.18444839119911194	0.1033514142036438
immorality	10.921245255915059	0.020847070962190628	0.10521361231803894	0.20708128809928894	0.06965157389640797	-0.019584760069847107	0.09368344396352757	0.12123757600784302
reverence	8.52061079142158	0.11149358749389648	0.1753152757883072	0.21098601818084717	0.24955090880393982	0.04562145471572876	0.11439268290996552	0.11259889602661133
battery	9.254026518015333	0.07275396585464478	0.03620193153619755	0.031274016946554184	-0.01798118092119716	0.029670871794223785	-0.025026798248290794	0.05710510164499283
primer	12.133876122984109	-0.030187133699655533	0.13019457459449768	-0.00485052727162838	0.059090010821819194	0.08871065080165863	-0.01861800067126751	0.1393398940563202
pedigree	10.654249822072	0.1284846067428589	0.08815489709377278	0.021365711465478054	0.15622274577617645	0.17402830719947815	-0.05062144249677658	0.0778796896338464
wounded	7.501400974277372	0.06824178993701924	0.1275218427181244	0.15424346923828125	0.07831554114818562	0.030063316226005554	0.2543696463108063	0.13674575090408325
oncoming	11.614392436475004	-0.027151167392730713	0.05278684198856365	0.015252158045768849	0.09670453518629085	0.11297470331192017	0.12773549556732178	0.1413833200931549
circumstances	6.769866010368106	0.12515804171562206	0.06741174310445797	0.17547507584095	0.019231878221035004	0.016159791499376408	0.08719199895858765	0.10324729979038239
uninspired	12.51783502587131	0.17116940021514893	0.28705909848213207	0.26059919595718384	0.23505166172981262	0.17590591311454773	0.24950531125068665	0.21757711470127106
prison	7.481988312428558	0.07747137546539318	0.029102226719260216	0.10558194667100906	0.044655632227659225	-0.0377873033285141	0.14458851516246796	0.09441976249217998
downfall	10.24988542954002	0.1049477681517601	0.1321902871131897	0.19155068695545197	0.02201782353222359	0.030357476323843002	0.14530135691165924	0.10053180158138275
guidelines	15.674835447021424	0.05862373486161243	0.016758274286985397	-0.01173137500882171	-0.021220184862613678	0.015001922845840454	-0.02376004308462143	0.032021161168813594
thought	4.734841532557565	0.31165170669555664	0.3725375831127167	0.24177417159080505	0.25610965490341187	0.19397065043449402	0.2260899841785431	0.3835086226463318
forefathers	9.739941251401836	0.07522885501384735	0.0896010473370552	0.19372257590293884	0.17846953868865967	0.04802066460251797	0.06903039664030075	0.05986644327640522
morbidity	12.966785245919214	0.03529529273509979	0.061773233115673176	0.1152443140745163	-0.016088904812932014	0.026520218700170406	-0.043160490691661835	0.07089661061763763
warlock	13.323460189857945	0.023297665640711784	0.1500357836484909	0.023686833679675945	0.11963628977537155	-0.024944020435214043	0.12293250113725662	0.11144526302814484
tomb	8.553986952578578	-0.002388615161180496	0.026184234768152237	0.11802797764539719	0.12311921268701553	0.0013103224337099872	0.06900373846292507	0.07794611155986797
monochrome	13.423543648414928	0.050835080444812775	0.12172593921422958	0.11218168586492538	0.2948906421661377	0.04588919132947922	0.009950976818800084	0.05850710719823837
hilarity	10.765863806701669	0.060716629028320424	0.49245479702949524	0.1684062182903291	0.27953213453292847	0.09928223490715027	0.0852009207010268	0.22914741933345795
contaminate	12.378998581017095	0.03832708299160004	0.088166944682598	0.0970715880393982	0.07405108958482742	0.05446770787239075	0.07692923396825802	0.15856754779815674
shout	8.316323070739415	0.17039412260055542	0.2768653631210327	0.12424958497285843	0.21509218215942383	0.04037018120288838	0.3396536111831665	0.16578929126262665
impermeable	13.534769283525153	0.026073342189192772	0.0854969620704652	0.029323633760213963	0.048545047640800365	0.05172111466526996	0.03690488636493683	0.12825556099414825
depraved	10.593431082036961	0.07318782061338425	0.290706068277359	0.2928275763988495	0.1886339783668518	0.08688579499721516	0.22032153606414795	0.2991545498371124
disheartened	10.67425048877867	0.44495418667793274	0.15701037645339966	0.5062184929847717	0.058761317282915226	0.162824347615242	0.5373368859291077	0.2173181176185608
miserable	7.515460710245997	0.3775002360343933	0.2622704803943634	0.42823076248168945	0.27261966466903687	0.12775357067584991	0.3292759656906128	0.317984014749527
elbow	8.619954103148993	0.004593187943100818	0.09501467645168304	-0.022461337968707085	0.06989414244890202	0.035388171672820934	0.06708914786577225	0.07134395092725765
betrothed	9.545785236960878	0.12735942006111145	0.15443861484527588	0.11840978264808655	0.29773449897766113	0.04085984081029881	0.13460303843021393	0.09207520633935917
patter	10.899922486446238	0.06562294065952301	0.36485540866851807	0.05252130329608917	0.15211011469364166	-0.011000718921422958	0.08869340270757675	0.05996694043278683
weeping	8.178738101845468	0.15207237005233765	0.20582933723926544	0.340173602104187	0.29004162549972534	-0.015172360464930312	0.37899285554885864	0.17158512771129608
interrupts	11.91363533132786	0.0879143700003624	0.24885237216949463	0.15106746554374706	0.18974868953227997	0.09751398861408245	0.1488802433013916	0.15149445831775665
cloak	8.11710148288072	-0.015607433393597603	0.05207300931215275	0.0807420313358308	0.0937836840748788	-0.04020732641220093	0.0333290696144104	0.10468651354312897
acceptances	12.539341231092274	0.07284636050462723	0.10328252613544464	0.05743209272623062	0.08116240799427044	0.05423131585121155	0.06066785752773285	0.03646667301654816
bum	11.814105735980828	0.19200000166893005	0.36267197132110596	0.2239380180835724	0.2911296486854553	-0.008684556931257248	0.1770353913307191	0.26057833433151245
pokes	12.290445183675649	0.0011227764189244427	0.29619938135147095	0.10624462366104126	0.16563758254051208	-0.0012285802513358757	0.0946863219141959	0.14705677330493927
thriving	10.677623173257308	0.20075184106826782	0.1112542524933815	0.22063760459423065	0.2255040407180786	0.20713184773921967	0.05267135798931122	0.171845942735672
sobriety	10.77327124797953	0.12995605170726776	0.08917094767093658	0.12649135291576385	0.05899687111377716	-0.008947695605456829	0.013247665017843246	0.10074616968631744
slaughter	8.954615291886128	0.006880098953843228	0.041189804673194774	0.13695549964904785	0.03208288922905922	-0.06438620388507843	0.08978833258151997	0.11204661428928375
rainbows	11.824687845311365	0.15904872119426727	0.15896782279014587	0.07712422311306	0.25563570857048035	0.03449306637048721	0.04341132193803798	0.1319752037525177
berserk	13.883075977793368	0.15764063596725464	0.16942444443702698	0.20650160312652588	0.14825622737407684	0.04492684453725804	0.3495412766933441	0.24965646862983704
disparaging	11.814105735980828	0.17996050417423248	0.2898212671279907	0.24078461527824402	0.11349664628505707	0.06452468037605275	0.3248864412307739	0.15676414966583252
giggling	11.21469103308359	0.25744375586509705	0.3935418725013733	0.21387717127799988	0.36314213275909424	0.07734099030494679	0.2651841640472412	0.28825464844703674
dreadfully	9.080421987271645	0.17106258869171143	0.32285434007644653	0.39749348163604736	0.33684197068214417	0.01641591265797615	0.21936064958572388	0.24655447900295258
theology	9.55343973032141	-0.00905788503587246	0.14258737862110138	0.07033687829971325	0.08906616270542145	0.005903307348489761	0.044111717492341995	0.09982820600271225
sublime	8.926662237863752	0.09954294562339783	0.26036536693573	0.14993497729301453	0.4963838458061218	0.17156308889389038	0.035751231014728435	0.17201581597328186
jail	9.214930992643888	0.07758648693561565	0.013487264513969421	0.07699479907751083	0.03384653851389885	-0.044503986835479514	0.16419294476509094	0.077589511871338
worthwhile	12.812634566091955	0.3536298871040344	0.2875518798828125	0.29239755868911743	0.26702308654785156	0.43739163875579834	0.06339460611343384	0.2695435583591461
deplore	10.81115456588183	0.1551060676574707	0.15395104885101318	0.3283923864364624	0.10991603136062622	0.04187373071908962	0.24366967380046844	0.09596074372529984
suffocation	10.925564917059575	-0.008220710791647434	0.05343960598111164	0.08940140902996063	-0.01408742181956768	-0.0535845570266249	0.09388627111911763	0.12494005262851715
preparatory	10.080124067419584	0.02225179225206375	-0.03904183208942391	-0.0017646551132202148	0.08962289243936539	0.06743999570608139	-0.0008772015571594238	-0.02096712216734886
merciless	9.949617691645157	0.06998006999492645	0.16700884699821472	0.17217528820037842	0.1558147370815277	0.0020774658769368015	0.22987408936023712	0.23046904802322388
disgraceful	9.626281932929315	0.21670001745224	0.28419166803359985	0.517576277256012	0.22738884389400482	0.14500433206558228	0.35555946826934814	0.2839064598083496
recreation	10.029388549378186	0.035595424473285564	0.038657911121845245	0.08648382127285004	0.13549168407917023	0.12337765097618092	0.025733444839715958	0.11371717602014542
unhelpful	14.981688266461479	0.19980472326278687	0.2840059995651245	0.3020075559616089	0.18609395623207092	0.13432222604751587	0.32190147042274475	0.23720163106918335
untold	10.618589641673115	0.02693936601281155	0.05195645987987518	0.20430704951286316	0.09568222612142563	0.13028016686439514	0.14161580801010132	0.15838226675987244
creativity	15.674835447021424	0.13384570181369781	0.16092930734157562	0.052066661417484394	0.16178926825523376	0.2610492110252379	-0.0033615436404943466	0.08814867585897435
accompaniment	9.792906786981748	0.05050387978553761	0.08745450526475917	0.04731179028749477	0.26038920879364014	0.06020967289805401	-0.03652137517929077	0.015822453424334415
inadequate	9.850311354669094	0.08830934762954723	0.051297012716531754	0.1654367446899414	0.03774842619895935	-0.020273340865969658	0.24225574731826782	0.10385073721408844
soulful	12.871475066114888	0.12903378903865814	0.32753604650497437	0.23143115639686584	0.43788301944732666	0.18293949961662292	0.14803190529346466	0.1716948151588441
pirate	9.152742648851271	0.04330797120928764	0.08477553725242604	0.04958554357290279	0.08591209352016438	0.020420277491212002	0.08329041302204121	0.1442924439907074
nameless	9.860704915196356	0.0950646847486496	0.19699706137180328	0.21189841628074646	0.2477448433637619	-0.023072164505719917	0.17932894825935364	0.1715749055147171
injection	11.985955992907487	-0.010985424742102623	-0.020887784659862296	-0.048714809119701385	-0.04107226803898789	0.047714099287986755	0.030752543359994777	-0.010962015949189663
obstructive	12.630313009298	0.06500869989395142	0.08293271064758301	0.08875560760498036	0.02841924875974655	-0.008019177243113518	0.28231680393218994	0.05725672096014023
numbness	11.588859134469839	0.029871419072151184	0.10580022633075714	0.12231360375881195	0.03891032934188843	-0.0015698447823524475	0.08499808609485637	0.15116381645202637
anxious	7.0571636370389665	0.5388072729110718	0.17591366171836853	0.33983442187309265	0.1303384006023407	0.31223487854003906	0.5265529155731201	0.3344012498855591
experience	6.73985339780819	0.17576652765274048	0.08627142757177364	0.1108192652463913	0.07039456814527523	0.3529045581817627	-0.013075552880764008	0.19600851833820343
casket	10.074563348734888	0.042593948543071636	0.07278022170066845	0.18958938121795654	0.14822536706924438	-0.012340860441327095	0.09980756044387817	0.05316012725234043
phantom	9.608727356917676	-0.00895693898201011	0.0977576971054076	0.016373595222830772	0.08630494028329838	-0.02923569083213784	0.17086753249168407	0.20769160985946655
sympathy	7.507057897862328	0.15271972119808197	0.161309152841568	0.26445579528808594	0.14915531873703003	-0.09224636852741241	0.35361266136169434	0.08520788699388504
attraction	8.950402225166824	0.10288785398006439	0.12535057961940765	0.12594333291053772	0.16603527963161469	0.24893151223659515	0.07622867077589035	0.15427950024604797
possession	7.010516190714892	0.07544028759002686	0.05551005154848099	0.06052423268556595	0.07236235588788997	0.02782302163541317	0.054453745484352	0.07466984540224075
destined	8.543936616725077	0.2486918568611145	0.12693974375724792	0.23236316442489624	0.1387699544429779	0.1331978589296341	0.07680524885654438	0.10706446319818508
calm	7.40841397403687	0.21452802419662476	0.16856615245342255	0.13002678751945496	0.16051940619945526	0.03887706622481357	0.2937483787536621	0.2079411894083023
